W,H,X,Y
11.0999999999999,18.1,863.2,297.9
14.0999999999999,16.1,863.2,298.9
13.0999999999999,26.1,705.2,345.9
13.0999999999999,16.1,864.2,289.9
13.0999999999999,16.1,864.2,279.9
9.09999999999991,14.1,866.2,273.9
11.0999999999999,12.1,865.2,269.9
12.0999999999999,13.1,865.2,264.9
12.0999999999999,15.1,865.2,263.9
10.0999999999999,12.1,865.2,262.9
13.0999999999999,12.1,865.2,261.9
14.0999999999999,19.1,865.2,260.9
11.0999999999999,14.1,866.2,265.9
13.0999999999999,10.1,865.2,270.9
10.0999999999999,13.1,866.2,268.9
10.0999999999999,11.1,866.2,276.9
12.0999999999999,13.1,864.2,282.9
9.09999999999991,12.1,866.2,291.9
12.0999999999999,14.1,864.2,300.9
10.0999999999999,10.1,865.2,312.9
9.09999999999991,8.10000000000002,865.2,313.9
17.0999999999999,22.1,835.2,288.9
9.09999999999991,10.1,814.2,256.9
10.0999999999999,22.1,715.2,274.9
18.0999999999999,16.1,790.2,239.9
17.0999999999999,16.1,768.2,223.9
18.0999999999999,13.1,748.2,210.9
20.0999999999999,15.1,746.2,209.9
15.0999999999999,11.1,731.2,200.9
17.0999999999999,11.1,711.2,189.9
17.0999999999999,13.1,695.2,182.9
19.0999999999999,13.1,677.2,177.9
19.0999999999999,15.1,661.2,174.9
17.0999999999999,12.1,662.2,175.9
8.09999999999991,16.1,720.2,248.9
16.0999999999999,11.1,647.2,174.9
21.0999999999999,13.1,629.2,175.9
17.0999999999999,14.1,617.2,176.9
18.0999999999999,14.1,602.2,181.9
18.0999999999999,13.1,589.2,187.9
19.0999999999999,14.1,589.2,188.9
17.0999999999999,17.1,576.2,195.9
18.0999999999999,16.1,563.2,206.9
18.0999999999999,16.1,549.2,216.9
18.0999999999999,14.1,536.2,230.9
13.0999999999999,19.1,719.2,250.9
15.0999999999999,17.1,526.2,243.9
14.0999999999999,16.1,527.2,244.9
13.1,15.1,487.2,263.9
13.1,14.1,477.2,269.9
16.1,14.1,468.2,274.9
15.1,14.1,464.2,278.9
15.1,13.1,463.2,278.9
13.1,13.1,460.2,285.9
18.1,16.1,454.2,289.9
13.0999999999999,20.1,722.2,228.9
15.1,13.1,452.2,296.9
15.1,12.1,450.2,304.9
12.1,12.1,449.2,310.9
10.1,10.1,450.2,310.9
12.1,13.1,446.2,317.9
9.10000000000002,12.1,444.2,326.9
10.1,11.1,440.2,343.9
11.1,10.1,440.2,353.9
